State,County,Start_Lat,Start_Lng,count
CO,Garfield,39.52397,-107.777,291
CO,Gilpin,39.763662,-105.44479,45
CO,Grand,40.041322,-106.373183,74
CO,Gunnison,38.392093,-107.48476,83
CO,Hinsdale,38.001325,-107.292451,6
CO,Huerfano,37.743431,-104.831761,155
CO,Jackson,40.38001,-106.57953,35
CO,Jefferson,39.78436,-105.08863999999998,3256
CO,Kiowa,38.47787,-102.78661,17
CO,Kit Carson,39.276556,-102.972353,28
CO,La Plata,37.452244,-107.805031,23
CO,Lake,39.26523,-106.29028999999998,43
CO,Larimer,40.476249,-104.99205,1029
CO,Las Animas,37.13421,-104.521453,159
CO,Lincoln,39.282887,-103.267601,51
CO,Logan,40.665142,-102.778893,36
CO,Mesa,38.788621,-108.668786,165
CO,Mineral,37.602813,-106.726282,24
CO,Moffat,40.33496,-107.68781,18
CO,Montezuma,37.44338,-108.647047,34
CO,Montrose,38.543426,-107.943814,24
CO,Morgan,40.242947,-103.92424,108
CO,Otero,37.991836,-103.570162,79
CO,Ouray,38.016924,-107.66794099999998,24
CO,Park,39.039955,-105.526529,240
CO,Phillips,40.63796,-102.62783,9
CO,Pitkin,39.130320000000005,-107.281647,17
CO,Prowers,37.701676,-102.609195,46
CO,Pueblo,38.304326,-104.66352,705
CO,Rio Blanco,40.077969,-108.776767,37
CO,Rio Grande,37.588431,-106.199392,22
CO,Routt,40.47593,-107.13561,26
CO,Saguache,38.16203,-106.32169,33
CO,San Juan,37.658919,-107.809632,4
CO,San Miguel,38.028906,-108.900873,16
CO,Sedgwick,40.96547,-102.25012,10
CO,Summit,39.516853000000005,-106.207967,325
CO,Teller,38.762108000000005,-105.15918700000002,63
CO,Washington,40.244792,-103.470894,33
CO,Weld,40.025607,-104.817748,1140
CO,Yuma,40.075218,-102.28479,23
CT,Fairfield,41.177315,-73.17304200000001,6722
CT,Hartford,41.755451,-72.650444,7990
CT,Litchfield,41.588699,-73.058388,460
CT,Middlesex,41.624386,-72.69390899999999,1000
CT,New Haven,41.27264,-72.970589,5604
CT,New London,41.364331,-72.06565,1233
CT,Tolland,41.91882,-72.2633,620
CT,Windham,41.8919,-71.86791,425
DC,District Of Columbia,38.925533,-77.052673,224
DC,District of Columbia,38.918324,-76.95503199999999,4977
DE,Kent,38.9832,-75.567063,323
DE,New Castle,39.744122,-75.562294,4033
DE,Sussex,38.78779,-75.31881,269
FL,Alachua,29.843294,-82.530411,1618
FL,Baker,30.26118,-82.10818,446
FL,Bay,30.435648,-85.42733,919
FL,Bradford,29.89135,-82.336372,109
