State,County,Start_Lat,Start_Lng,count,State_Name
FL,Holmes,30.713778,-85.93537099999999,189,Florida
FL,Indian River,27.638559000000004,-80.410149,478,Florida
FL,Jackson,30.753195,-85.27291899999999,596,Florida
FL,Jefferson,30.474346,-83.884037,192,Florida
FL,Lafayette,30.1292,-83.29257199999999,6,Florida
FL,Lake,28.74878,-81.93167,1439,Florida
FL,Lee,26.564581,-81.856346,9184,Florida
FL,Leon,30.435011,-84.201233,2813,Florida
FL,Levy,29.361233,-82.455849,218,Florida
FL,Liberty,30.505,-84.848538,50,Florida
FL,Madison,30.43813,-83.652287,347,Florida
FL,Manatee,27.441839,-82.459595,6586,Florida
FL,Marion,28.981974,-81.98734300000001,3304,Florida
FL,Martin,27.161121,-80.269402,938,Florida
FL,Miami-Dade,25.684458,-80.445924,65050,Florida
FL,Monroe,24.746454,-80.9832,482,Florida
FL,Nassau,30.67153,-81.64144,549,Florida
FL,Okaloosa,30.444669,-86.62388299999999,1101,Florida
FL,Okeechobee,27.60424,-80.82531999999999,84,Florida
FL,Orange,28.348536,-81.56498,32773,Florida
FL,Osceola,28.171101,-81.301735,4524,Florida
FL,Palm Beach,26.61341,-80.068784,12527,Florida
FL,Pasco,28.244009,-82.454643,6586,Florida
FL,Pinellas,27.76623,-82.768204,13763,Florida
FL,Polk,28.181709,-81.74202,2135,Florida
FL,Putnam,29.631554,-81.86725899999999,320,Florida
FL,Saint Johns,29.813318,-81.322608,23,Florida
FL,Saint Lucie,27.446974,-80.32596600000001,10,Florida
FL,Santa Rosa,30.389618,-87.067521,1689,Florida
FL,Sarasota,27.388454,-82.487072,5643,Florida
FL,Seminole,28.66436,-81.38871999999999,3530,Florida
FL,St. Johns,29.823669,-81.378761,1483,Florida
FL,St. Lucie,27.211086,-80.333931,1332,Florida
FL,Sumter,28.697873,-82.104239,919,Florida
FL,Suwannee,29.92843,-82.86026899999999,487,Florida
FL,Taylor,30.144635,-83.610119,96,Florida
FL,Union,30.020849,-82.369185,68,Florida
FL,Volusia,29.21297,-81.10059,2774,Florida
FL,Wakulla,30.174626,-84.375045,199,Florida
FL,Walton,30.35376,-86.25460799999999,606,Florida
FL,Washington,30.790911,-85.52893900000001,237,Florida
GA,Appling,31.795340000000003,-82.39887,19,Georgia
GA,Atkinson,31.184129,-82.84618,10,Georgia
GA,Bacon,31.575071,-82.461733,20,Georgia
GA,Baker,31.328703000000004,-84.334772,12,Georgia
