ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-1570855,2,39.748951,-75.660004,Wilmington,New Castle,DE,41,35.2,82,30.22,10,9.2,
A-1154376,2,25.68181,-80.31472,Miami,Miami-Dade,FL,83,83,49,30.09,10,8,0
A-2698403,2,38.65107,-121.076546,El Dorado Hills,El Dorado,CA,64.4,,73,30,10,6.9,
A-1953579,3,35.446899,-80.6063,Concord,Cabarrus,NC,89.6,,46,30.14,10,,
A-3420809,2,39.833528,-84.259204,Dayton,Montgomery,OH,55,55,55,28.96,10,10,0
A-3660020,2,40.68798,-111.93891,West Valley City,Salt Lake,UT,62,62,25,25.85,10,7,0
A-2147628,3,34.06712,-117.488831,Fontana,San Bernardino,CA,72,,49,29.91,9,8.1,
A-1508982,2,32.237865,-110.857918,Tucson,Pima,AZ,54.3,,50,29.99,10,5.8,
A-2659489,3,33.427238,-112.04789,Phoenix,Maricopa,AZ,100,,31,29.79,10,,
A-3138334,2,42.552913,-79.105843,Irving,Chautauqua,NY,39,35,73,29.34,10,6,0
A-3094903,2,34.794653,-92.401023,Little Rock,Pulaski,AR,46,40,24,29.83,10,12,0
A-3239179,2,42.351621,-123.554118,Wilderville,Josephine,OR,54,54,37,25.7,10,21,0
A-1361458,3,38.2962,-85.549149,Louisville,Jefferson,KY,71,71,90,29.36,10,5,0
A-3396077,2,43.146095,-77.636049,Rochester,Monroe,NY,58,58,37,29.62,10,14,0
A-3514187,3,39.70511,-104.99689,Denver,Denver,CO,79,79,28,24.29,10,3,0
A-20519,2,38.371059,-121.95446,Vacaville,Solano,CA,90,,23,29.88,10,8.1,
A-2936463,3,28.52629,-81.38615,Orlando,Orange,FL,81,,85,29.94,6,12.7,
A-2421033,2,29.753609,-95.373932,Houston,Harris,TX,33.8,27.7,81,30.24,10,6.9,0.01
A-738824,2,38.860489,-76.986908,Washington,District of Columbia,DC,73,73,95,29.76,10,6,0
A-2372609,2,41.995956,-70.844147,Halifax,Plymouth,MA,33.1,,72,30.46,10,,
A-2540288,2,35.4963,-97.601158,Oklahoma City,Oklahoma,OK,48.2,,71,30.24,10,20.7,
A-958714,2,33.492519,-82.078079,Augusta,Richmond,GA,54,54,86,29.73,7,7,0.02
A-914010,2,30.48531,-91.083687,Baton Rouge,East Baton Rouge,LA,63,63,84,29.83,10,3,0
A-579697,4,46.041264,-122.859062,Kalama,Cowlitz,WA,26,26,96,30.26,10,0,0
A-235714,3,40.169041,-75.077003,Hatboro,Montgomery,PA,48,,61,30.43,10,17.3,
A-1507079,2,41.841583,-71.418518,Providence,Providence,RI,19.9,7.9,42,29.88,10,11.5,
A-857311,2,40.85891,-77.760208,Pleasant Gap,Centre,PA,59,59,88,28.22,7,12,0
A-95699,2,33.882301,-117.588036,Corona,Riverside,CA,84,,46,29.78,10,13.8,
A-1406363,3,42.264896,-83.271271,Taylor,Wayne,MI,68,68,39,29.26,10,13,0
A-2052504,2,29.559498,-95.144295,Webster,Harris,TX,86,,62,29.96,10,5.8,
A-636493,3,41.1063,-75.397713,Pocono Summit,Monroe,PA,54,54,62,28.09,10,7,0
A-1629463,3,34.132561,-117.957748,Baldwin Park,Los Angeles,CA,48.2,,87,30.15,10,,
A-1581293,2,41.042633,-94.384384,Creston,Union,IA,24.8,14.6,100,30.07,5,10.4,
A-3616916,1,28.80454,-82.4877,Lecanto,Citrus,FL,81,81,34,29.95,10,8,0
A-3111781,2,30.536595,-84.589458,Quincy,Gadsden,FL,54,54,100,29.87,10,0,
A-3177460,2,43.10856,-123.455627,Roseburg,Douglas,OR,36,36,93,29.86,3,3,0
A-1897598,2,34.943363,-82.305122,Taylors,Greenville,SC,89.1,,46,29.96,10,3.5,
A-305234,3,30.141642,-97.795326,Austin,Travis,TX,78.1,,87,30.06,10,,
A-3475730,2,43.16466,-77.70154,Rochester,Monroe,NY,49,44,44,29.29,10,13,0
A-1497911,2,34.012268,-80.447426,Dalzell,Sumter,SC,63,63,88,29.93,10,6,0
A-499349,3,26.111271,-80.301437,Davie,Broward,FL,77,,88,29.98,10,5.8,0.02
A-4149311,4,42.292572,-84.067734,Chelsea,Washtenaw,MI,69.1,,81,29.98,10,9.2,
A-1952228,2,29.98628,-95.342949,Houston,Harris,TX,84,,82,30.01,10,3.5,
A-2820023,2,40.65388,-74.00826,Brooklyn,Kings,NY,69.8,,23,29.94,10,4.6,
A-2566468,2,29.592182,-98.584282,San Antonio,Bexar,TX,78.1,,35,30.03,10,5.8,
A-1055654,2,41.102589,-81.500114,Akron,Summit,OH,59,59,42,28.92,10,10,0
A-1173899,4,36.971352,-76.418076,Newport News,Newport News,VA,74,74,55,30.23,10,9,0
A-1565635,2,40.679474,-74.278152,Kenilworth,Union,NJ,52.3,,49,30.1,10,,
A-2303145,2,43.035213,-89.422752,Madison,Dane,WI,7,0.1,80,30.43,10,3.5,
A-332110,2,30.487919,-97.771439,Austin,Williamson,TX,54,,40,30.4,10,4.6,
A-3365409,2,36.07894,-86.726235,Nashville,Davidson,TN,57,57,81,29.55,10,3,0
A-2518676,2,29.79735,-95.569885,Houston,Harris,TX,64.4,,100,30.2,0.2,,
A-1537797,2,34.088242,-79.964691,Timmonsville,Florence,SC,66.9,,23,29.81,10,15,
A-3549036,2,33.903578,-118.193951,Compton,Los Angeles,CA,67,67,63,29.93,10,8,0
A-2254708,2,36.180595,-86.796326,Nashville,Davidson,TN,64.9,,37,30.03,10,5.8,
A-3401202,2,29.944095,-90.070918,New Orleans,Orleans,LA,57,57,96,30.07,10,0,0
A-3053847,2,44.767612,-122.664195,Stayton,Linn,OR,57,57,77,29.71,0.75,3,0
A-4049864,2,34.200948,-118.966773,Camarillo,Ventura,CA,59,,83,29.89,7,5.8,
A-2755904,2,42.28,-87.905178,Libertyville,Lake,IL,-2,-19.6,69,30.77,10,11.5,
A-2467384,3,33.89185,-84.259369,Atlanta,DeKalb,GA,55.9,,90,30.2,10,,
A-78341,2,34.043556,-118.309021,Los Angeles,Los Angeles,CA,72,,53,29.91,10,,
A-711796,2,33.85762,-118.29924,Torrance,Los Angeles,CA,70,70,78,29.8,10,9,
A-2695584,3,37.842594,-122.2976,Emeryville,Alameda,CA,70,,68,30.01,10,15,
A-3027414,2,45.508931,-122.779729,Portland,Washington,OR,36,36,100,30,5,0,0
A-1040673,2,36.528584,-120.484756,Mendota,Fresno,CA,49,49,74,29.79,10,3,0
A-3821952,2,44.82852,-93.82504,Cologne,Carver,MN,30,30,68,29.04,10,3,0
A-3915145,3,34.305335,-117.466314,San Bernardino,San Bernardino,CA,53.6,,26,30.07,10,3.5,
A-3226608,2,41.291227,-73.850211,Cortlandt Manor,Westchester,NY,62,62,60,29.66,10,8,0
A-3887726,4,30.241709,-82.585442,Lake City,Columbia,FL,62.6,,63,30.13,10,5.8,
A-2524598,3,44.759384,-93.248093,Burnsville,Dakota,MN,62.1,,84,30.11,10,16.1,0
A-2723137,4,33.471411,-117.6978,Dana Point,Orange,CA,64,,60,29.88,10,3.5,
A-1309900,2,33.395657,-111.788422,Mesa,Maricopa,AZ,97,97,27,28.67,10,3,0
A-4320,2,38.673847,-121.38176,North Highlands,Sacramento,CA,102.2,,12,29.8,,5.8,
A-3610032,2,43.16103,-85.72515,Sparta,Kent,MI,36,31,89,29.09,10,6,0
A-2854114,2,37.31731,-121.93597,San Jose,Santa Clara,CA,86,,24,29.85,10,11.5,
A-3831769,2,37.775944,-122.404842,San Francisco,San Francisco,CA,68,68,49,29.94,10,10,0
A-1019509,3,32.322437,-111.051201,Tucson,Pima,AZ,39,35,87,27.7,10,6,
A-3894519,2,26.538857,-80.17267,Boynton Beach,Palm Beach,FL,69.8,,31,30.11,10,17.3,
A-2955621,2,40.037366,-75.247131,Narberth,Montgomery,PA,61,61,92,29.06,10,5,0.07
A-2591114,2,30.39753,-91.178604,Baton Rouge,East Baton Rouge,LA,80.1,,76,29.94,10,5.8,
A-720026,2,35.604431,-119.211838,Mc Farland,Kern,CA,82,82,35,29.35,10,10,0
A-765283,2,38.32222,-120.252769,Arnold,Calaveras,CA,46,46,100,27.88,10,0,0
A-940889,2,37.294399,-121.873093,San Jose,Santa Clara,CA,45,45,82,30.08,10,0,0
A-1400310,2,34.069828,-118.26133,Los Angeles,Los Angeles,CA,61,61,78,29.64,9,0,0
A-158192,2,33.731743,-84.387901,Atlanta,Fulton,GA,79,,74,30.1,10,4.6,
A-1083644,3,37.080357,-77.359138,Petersburg,Prince George,VA,,,,,,,
A-1926784,2,36.203537,-86.738503,Nashville,Davidson,TN,75.9,,74,30.05,10,5.8,
A-1458537,2,37.875336,-96.847061,El Dorado,Butler,KS,49,49,83,28.5,10,3,0
A-4091216,4,44.51287,-88.0828,Green Bay,Brown,WI,17.1,1.5,65,30.03,7,17.3,
A-525376,3,38.875343,-77.040062,Washington,District of Columbia,DC,43,38,80,30.03,10,9,0
A-1131082,2,35.325668,-80.945213,Charlotte,Mecklenburg,NC,47,47,90,29.03,4,0,0.02
A-870293,2,38.822899,-85.83709,Crothersville,Jackson,IN,36,36,87,29.44,10,0,
A-2380754,3,38.609798,-104.682602,Fountain,El Paso,CO,47.7,,27,29.68,10,10.4,
A-229378,2,39.994019,-76.320053,Lancaster,Lancaster,PA,48,,66,30.01,10,10.4,
A-2378170,3,34.201111,-118.473412,Van Nuys,Los Angeles,CA,75,,26,30.08,10,10.4,
A-2574270,2,30.039827,-95.176361,Kingwood,Harris,TX,81,,39,29.82,10,13.8,
A-3061027,2,45.508146,-122.668684,Portland,Multnomah,OR,50,50,77,29.99,10,7,0
A-1308627,3,39.242737,-84.301125,Loveland,Hamilton,OH,83,83,54,29.38,10,8,0
A-2551184,2,27.465942,-82.562927,Bradenton,Manatee,FL,86,,65,29.88,10,8.1,
A-3758872,2,34.068869,-117.839455,Covina,Los Angeles,CA,57,57,44,28.87,10,6,
A-1366330,2,35.45549,-80.802567,Davidson,Mecklenburg,NC,82,82,58,29.04,2,30,0
A-1967775,2,35.125874,-80.980545,Charlotte,Mecklenburg,NC,80.1,,38,30.07,10,8.1,
A-973294,2,41.780182,-87.916656,Burr Ridge,DuPage,IL,30,19,75,29.38,10,16,0
A-666454,3,37.700886,-121.774063,Livermore,Alameda,CA,74,74,19,29.6,10,8,0
A-2376401,2,35.894234,-78.621384,Raleigh,Wake,NC,32,24.2,96,30.23,0.2,9.2,0.09
A-3537033,4,41.21023,-111.97005,Ogden,Weber,UT,54,54,41,25.57,10,8,0
A-2939059,3,40.550922,-112.310204,Tooele,Tooele,UT,85,85,17,25.48,10,0,0
A-2315380,3,44.950417,-93.274231,Minneapolis,Hennepin,MN,37.9,33.5,73,29.63,10,5.8,
A-3984278,4,39.10974,-76.49789,Pasadena,Anne Arundel,MD,45,,76,30.4,10,,
A-140666,2,27.981607,-82.384354,Tampa,Hillsborough,FL,77,,89,30.15,10,6.9,
A-1023711,2,39.696609,-104.791092,Aurora,Arapahoe,CO,20,12,94,24.38,10,6,0
A-3532449,3,41.58346,-87.68594,Hazel Crest,Cook,IL,87,,47,29.19,10,,0
A-3706591,2,32.779197,-117.070123,San Diego,San Diego,CA,67,67,17,29.55,10,14,0
A-2136234,3,38.237656,-85.623215,Louisville,Jefferson,KY,73,,93,29.87,2,6.9,0.04
A-189905,3,43.852753,-84.020332,Pinconning,Bay,MI,86,,52,29.8,10,13.8,
A-2181457,3,34.02676,-118.430115,Los Angeles,Los Angeles,CA,73,,48,29.99,10,9.2,
A-632711,3,37.826569,-122.286629,Emeryville,Alameda,CA,67,67,66,29.94,10,9,0
A-670831,2,32.745625,-117.19574,San Diego,San Diego,CA,56,56,69,29.99,10,0,0
A-3801214,3,40.75448,-74.19774,Newark,Essex,NJ,68,68,52,29.91,10,10,0
A-1990788,2,31.773653,-106.339737,El Paso,El Paso,TX,100.9,,10,29.77,10,5.8,
A-1652823,2,41.468868,-81.753242,Cleveland,Cuyahoga,OH,10.9,-4.1,73,30.54,4,12.7,0
A-2668287,2,35.435238,-97.518173,Oklahoma City,Oklahoma,OK,75.9,,64,30.06,10,6.9,
A-3884432,2,37.236904,-121.803917,San Jose,Santa Clara,CA,73,73,50,29.83,10,13,
A-3428880,2,40.671957,-73.998597,Brooklyn,Kings,NY,77,77,88,30.13,10,6,0
A-2088302,2,38.11861,-122.285324,Vallejo,Solano,CA,54,,93,29.92,10,,
A-3056219,2,39.03209,-84.591419,Erlanger,Kenton,KY,50,50,89,28.91,10,5,0
A-2803363,2,35.20316,-80.744717,Charlotte,Mecklenburg,NC,73,,76,29.96,10,3.5,
A-1466749,2,33.458691,-112.047661,Phoenix,Maricopa,AZ,76,76,9,28.62,10,14,0
A-3535982,2,38.83047,-77.47569,Centreville,Fairfax County,VA,81,81,39,29.69,10,5,0
A-3536017,2,40.12554,-75.16538,Glenside,Montgomery,PA,77,77,35,29.67,10,6,0
A-837630,2,30.441299,-91.138237,Baton Rouge,East Baton Rouge,LA,79,79,72,30.02,10,8,0
A-731268,2,31.76038,-106.492508,El Paso,El Paso,TX,82,82,45,26.23,8,14,
A-2584096,2,39.086735,-84.508423,Covington,Kenton,KY,57,,100,29.99,10,12.7,0.04
A-3952545,3,40.84507,-73.91626,Bronx,Bronx,NY,36,33.3,93,30.04,10,3.5,0
A-3761458,2,34.055686,-118.451951,Los Angeles,Los Angeles,CA,60,60,78,29.82,10,5,0
A-2385489,2,30.210768,-97.661591,Austin,Travis,TX,28,24.2,92,30.23,10,3.5,
A-1577896,2,38.79961,-104.803543,Colorado Springs,El Paso,CO,36,26.3,29,30.23,10,16.1,
A-1183635,2,30.461229,-91.166473,Baton Rouge,East Baton Rouge,LA,90,90,45,29.81,10,7,0
A-1174615,2,35.580101,-97.638481,Oklahoma City,Oklahoma,OK,83,83,69,28.52,10,16,0
A-1364183,2,27.973,-82.453285,Tampa,Hillsborough,FL,75,75,94,30.01,7,7,0
A-1545951,2,33.952374,-81.233505,Lexington,Lexington,SC,61,,21,30.32,10,11.5,
A-1642146,2,33.06612,-96.690254,Plano,Collin,TX,42.8,38.6,76,30.38,10,6.9,
A-1668762,2,33.857571,-86.821297,Warrior,Blount,AL,55.9,,49,29.95,10,6.9,
A-296767,2,29.760925,-95.348518,Houston,Harris,TX,84.2,,74,30.05,10,,
A-2091870,2,28.498934,-81.306198,Orlando,Orange,FL,77,,90,30.04,10,5.8,
A-3997588,2,47.56502,-122.37618,Seattle,King,WA,66,,52,29.93,10,6.9,
A-4068461,2,37.436521,-122.132289,Palo Alto,Santa Clara,CA,55.4,,77,29.96,10,11.5,
A-4165425,2,44.389603,-122.180507,Blue River,Linn,OR,56,56,84,29.51,10,0,0
A-848594,2,42.929432,-78.831673,Buffalo,Erie,NY,43,37,74,29.21,10,12,0
A-1527379,2,36.327179,-119.395088,Visalia,Tulare,CA,45,41.8,82,30.14,10,5.8,
A-2457686,3,44.946846,-93.104385,Saint Paul,Ramsey,MN,3.9,-13,84,30.44,2,12.7,0
A-929844,2,35.054649,-80.850266,Charlotte,Mecklenburg,NC,57,57,59,29.27,10,10,0
A-1962860,2,35.890625,-78.519943,Wake Forest,Wake,NC,71.6,,100,30.06,7,,
A-2159822,3,32.812393,-79.952652,Charleston,Charleston,SC,80.6,,84,30,5,8.1,
A-45251,2,34.074097,-118.122978,Alhambra,Los Angeles,CA,89.6,,40,29.9,10,4.6,
A-3448938,2,38.70745,-121.309802,Citrus Heights,Sacramento,CA,68,68,73,29.7,10,0,
A-4157090,2,35.24952,-80.78106,Charlotte,Mecklenburg,NC,82,,82,29.99,10,3.5,
A-1560964,3,34.027412,-118.03756,Whittier,Los Angeles,CA,55.4,,94,29.95,10,18.4,
A-3147746,2,35.202543,-80.760545,Charlotte,Mecklenburg,NC,54,54,40,29.55,10,8,0
A-1840481,3,40.665047,-74.182167,Elizabeth,Union,NJ,57.9,,62,30.04,10,9.2,
A-3985559,2,26.36322,-80.11997,Boca Raton,Palm Beach,FL,77,,89,30,10,5.8,
A-1750977,2,29.931833,-95.410934,Houston,Harris,TX,54,,93,30.2,7,15,0.01
A-800888,3,33.009911,-117.263916,Cardiff By the Sea,San Diego,CA,64,64,80,29.57,10,0,0
A-3639443,2,37.48302,-77.47843,Richmond,Richmond City,VA,54,54,41,29.89,10,6,0
A-2680056,2,36.133476,-95.851089,Tulsa,Tulsa,OK,82,,71,29.8,10,5.8,
A-2818368,4,34.409763,-111.492114,Pine,Gila,AZ,69.8,,46,30.22,10,5.8,
A-3536397,3,26.35075,-80.12871,Boca Raton,Palm Beach,FL,81,81,91,30,8,8,0
A-2290348,2,34.142136,-81.270874,Chapin,Richland,SC,46.4,42.4,29,30.28,10,8.1,
A-1157075,2,35.20927,-119.232803,Bakersfield,Kern,CA,41,37,76,29.56,10,6,0
A-2095047,3,32.344185,-86.325043,Montgomery,Montgomery,AL,,,,,,,
A-2971127,2,40.005286,-75.075684,Philadelphia,Philadelphia,PA,52,52,54,30.08,10,7,0
A-2933428,3,42.9959,-82.44255,Port Huron,St. Clair,MI,71.6,,78,29.86,10,,
A-173802,3,38.773781,-90.317238,Florissant,St. Louis County,MO,64.9,,78,30.08,10,3.5,
A-553629,2,37.402802,-77.459633,North Chesterfield,Chesterfield,VA,,,,,,,
A-379212,3,39.732315,-75.40593,Pedricktown,Salem,NJ,54,,86,29.94,10,5.8,
A-2585474,2,32.878857,-96.688614,Dallas,Dallas,TX,84.9,,51,30.04,10,4.6,
A-2679008,2,34.891293,-82.40358,Greenville,Greenville,SC,75.9,,85,29.98,10,10.4,
A-3027722,2,40.25621,-76.859231,Harrisburg,Dauphin,PA,27,19,78,29.54,0.75,8,0.03
A-2197221,3,32.883541,-80.019669,Charleston,Charleston,SC,63,,58,30.01,10,9.2,
A-3587128,3,32.73979,-96.82282,Dallas,Dallas,TX,66,66,87,29.27,10,7,0
A-1267920,3,26.062199,-80.353676,Fort Lauderdale,Broward,FL,75,75,87,30.02,10,5,0
A-3824773,2,30.4113,-81.56537,Jacksonville,Duval,FL,84,84,69,29.97,10,12,0
A-1973267,3,34.016758,-117.095863,Yucaipa,San Bernardino,CA,67,67,75,28.37,10,0,0
A-2128671,2,33.842594,-80.738342,Gadsden,Richland,SC,68.2,,100,30.02,10,,
A-1402127,2,38.924809,-77.107117,Washington,District of Columbia,DC,50,50,89,29.78,10,12,0
A-1361887,2,33.968681,-81.008141,Columbia,Richland,SC,73,73,90,29.82,10,0,0
A-234042,2,40.065819,-75.342712,Conshohocken,Montgomery,PA,41,36.4,100,29.74,3,6.9,0.02
A-2760714,2,41.621532,-86.809024,La Porte,LaPorte,IN,3.2,-13.1,76,30.21,3,11.5,
A-3372419,2,40.721674,-74.17799,Newark,Essex,NJ,44,38,55,30.4,10,12,0
A-4180058,2,46.099173,-123.065965,Clatskanie,Columbia,OR,64,64,63,29.88,10,7,0
A-3644050,2,28.4177,-81.33427,Orlando,Orange,FL,64,64,80,29.99,10,20,0
A-1642274,2,32.413486,-93.723969,Shreveport,Caddo,LA,37.4,,82,30.4,10,,
A-2013607,2,35.364388,-80.744385,Charlotte,Mecklenburg,NC,77,,69,30,10,3.5,
A-1532359,2,37.47887,-77.515511,Richmond,Chesterfield,VA,28.9,,96,30.43,10,,
A-2424011,3,42.461308,-83.106026,Hazel Park,Oakland,MI,26.6,21.2,80,29.93,2.5,4.6,0
A-3159589,2,25.83451,-80.205933,Miami,Miami-Dade,FL,75,75,96,29.92,10,0,0
A-3338050,2,36.160621,-86.775364,Nashville,Davidson,TN,42,42,82,29.68,10,0,0
A-1248803,2,35.878979,-78.645737,Raleigh,Wake,NC,88,88,37,29.52,10,8,0
A-125662,2,27.441093,-82.459206,Bradenton,Manatee,FL,68,,87,30.15,8,5.8,
A-799348,2,34.067032,-117.24514,Loma Linda,San Bernardino,CA,70,70,56,28.73,6,0,0
A-3150039,2,33.960639,-80.303191,Sumter,Sumter,SC,46,46,81,30.21,10,0,0
A-188786,3,42.359558,-83.436134,Plymouth,Wayne,MI,44.1,40.8,79,30.29,10,5.8,
A-2305462,2,35.84988,-78.580528,Raleigh,Wake,NC,57,,34,30.4,10,11.5,
A-3047333,2,40.343867,-74.281686,Morganville,Monmouth,NJ,67,67,100,29.77,10,6,0.04
A-3032646,2,36.151409,-86.751244,Nashville,Davidson,TN,32,32,79,29.69,10,3,0
A-1783534,2,34.039364,-81.09362,Columbia,Richland,SC,60.1,,49,29.72,10,21.9,
A-3551219,2,43.75005,-123.11903,Cottage Grove,Lane,OR,68,68,47,29.66,10,6,0
A-1952337,2,39.870712,-104.771988,Commerce City,Adams,CO,68,,59,29.92,10,10.4,
A-1364569,3,39.096668,-94.551041,Kansas City,Jackson,MO,70,70,84,28.93,10,5,0
A-3981082,3,42.17814,-88.05792,Kildeer,Lake,IL,43,37.2,60,29.92,10,10.4,
A-1970746,3,44.951832,-93.146523,Saint Paul,Ramsey,MN,66,,90,29.71,10,10.4,
A-2258567,2,32.810814,-96.791748,Dallas,Dallas,TX,68,,36,29.73,10,16.1,
A-3119293,2,35.362511,-118.932033,Bakersfield,Kern,CA,38,38,79,29.87,4,0,0
A-1562555,2,41.272766,-95.924858,Omaha,Douglas,NE,10,-0.9,76,30.19,10,6.9,
A-3443773,4,32.65952,-96.8229,Dallas,Dallas,TX,66,66,90,29.07,4,14,0.03
A-259494,2,40.034092,-76.311562,Lancaster,Lancaster,PA,79,,52,30.1,10,3.5,
A-1093708,2,34.83239,-82.29203,Greenville,Greenville,SC,76,76,85,28.73,10,20,0
A-513942,2,35.113468,-80.921761,Charlotte,Mecklenburg,NC,40,40,60,29.65,10,3,0
A-2683663,2,40.842091,-74.823898,Hackettstown,Warren,NJ,71.1,,81,29.99,,,
A-718334,2,29.67894,-95.463379,Houston,Harris,TX,84,84,76,29.96,10,3,0
A-239218,2,40.263035,-75.319328,Lansdale,Montgomery,PA,37.4,,93,30.26,10,,
A-88964,2,33.774277,-118.007523,Westminster,Orange,CA,77.4,,63,30.04,10,3.5,
A-1775219,2,40.006977,-75.289223,Ardmore,Montgomery,PA,39.2,31.2,65,30.11,10,13.8,
A-3598321,1,30.4725,-91.05805,Baton Rouge,East Baton Rouge,LA,84,84,53,29.85,10,15,0
A-3556202,2,33.682465,-114.572376,Blythe,Riverside,CA,99,99,11,29.33,10,16,0
A-2447512,3,40.976479,-73.857674,Yonkers,Westchester,NY,37,30.4,42,30.19,10,9.2,
A-3442549,2,38.01797,-121.89414,Pittsburg,Contra Costa,CA,64,64,48,29.88,10,8,0
A-2598279,3,40.61026,-74.032967,Brooklyn,Kings,NY,60.8,,77,30.42,10,8.1,0.03
A-3443147,2,41.48516,-81.7177,Cleveland,Cuyahoga,OH,79,79,60,29.43,10,5,0
A-1298172,2,40.076279,-75.2472,Philadelphia,Montgomery,PA,80,80,82,29.69,7,6,0
A-1895863,3,35.887825,-86.48011,Murfreesboro,Rutherford,TN,70,,100,29.73,10,3.5,
A-1382396,2,47.709702,-117.403267,Spokane,Spokane,WA,57,57,69,28.06,10,0,0
A-1159096,3,39.941792,-104.988968,Thornton,Adams,CO,46,46,79,24.79,,0,0
A-2380912,3,33.631897,-117.17128,Menifee,Riverside,CA,46.4,43.5,87,29.93,10,5.8,
A-3047406,2,37.085262,-121.180196,Los Banos,Merced,CA,62,62,46,29.81,10,12,0
A-683054,3,37.793507,-122.204659,Oakland,Alameda,CA,71,71,51,29.98,10,18,0
A-802275,2,41.88242,-88.05481,Glen Ellyn,DuPage,IL,60,60,78,29.18,10,0,0
A-2083284,3,35.831764,-78.76355,Raleigh,Wake,NC,93.9,,46,29.9,10,8.1,
A-1770102,2,35.717197,-78.841843,Apex,Wake,NC,43.2,,100,30.16,1,,
A-2661826,2,30.41938,-91.096603,Baton Rouge,East Baton Rouge,LA,91,,50,29.97,10,,
A-3986262,2,42.01852,-122.61051,Ashland,Jackson,OR,44.1,,68,29.95,10,,
A-1883989,2,30.236794,-97.58596,Austin,Travis,TX,80.1,,85,29.94,10,4.6,
A-1716010,2,40.966331,-78.37677,West Decatur,Clearfield,PA,32,25.6,73,30.09,10,6.9,
A-2187523,3,26.432213,-81.777931,Estero,Lee,FL,64.9,,93,30.12,10,5.8,
A-2144592,2,35.143333,-106.518196,Albuquerque,Bernalillo,NM,75.9,,33,29.8,10,16.1,
A-3638388,1,33.32061,-111.85909,Chandler,Maricopa,AZ,75,75,29,28.59,10,9,
A-3886919,2,34.421843,-119.715112,Santa Barbara,Santa Barbara,CA,57,,87,29.96,10,9.2,
A-2309720,2,36.030289,-79.801437,Greensboro,Guilford,NC,62.1,,93,30.22,10,4.6,
A-550844,2,32.709068,-85.25753,Opelika,Lee,AL,40,31,63,29.14,10,16,0
A-2919083,2,27.42928,-82.55498,Bradenton,Manatee,FL,88,,59,29.96,10,11.5,
A-214921,2,40.934654,-73.879021,Yonkers,Westchester,NY,81,,52,30.16,10,13.8,
A-3318267,2,34.062646,-118.248631,Los Angeles,Los Angeles,CA,67,67,20,29.94,10,3,0
A-3742943,2,43.75864,-92.13417,Fountain,Fillmore,MN,15,4,89,28.3,10,8,0
A-4031339,3,32.788044,-117.160509,San Diego,San Diego,CA,63,,72,29.88,10,8.1,
A-1540193,3,33.660885,-80.889915,Saint Matthews,Calhoun,SC,73,,23,30.24,10,12.7,
A-3777437,2,45.25047,-93.02443,Forest Lake,Anoka,MN,14,2,73,28.92,10,9,0
A-3143460,2,36.186365,-86.775946,Nashville,Davidson,TN,39,35,55,29.42,10,6,0
A-2797722,2,38.95243,-76.86225,Lanham,Prince George's,MD,66.2,,94,30.14,10,,
A-937567,2,30.40456,-91.183723,Baton Rouge,East Baton Rouge,LA,48,41,74,29.56,10,21,0
A-1837593,2,43.092579,-77.665962,Rochester,Monroe,NY,41,35.2,76,30.14,10,9.2,
A-2369779,2,40.071228,-76.325035,Lancaster,Lancaster,PA,17.1,7.6,62,30.65,10,6.9,
A-1806156,2,38.560513,-121.458061,Sacramento,Sacramento,CA,77,,45,29.96,10,,
A-3437702,2,37.770019,-121.328254,Tracy,San Joaquin,CA,70,70,27,30.12,10,7,0
A-3013280,2,42.443147,-85.057316,Bellevue,Eaton,MI,25,25,82,29.45,10,0,0
A-1048381,2,36.734859,-120.069183,Kerman,Fresno,CA,69,69,40,29.61,10,15,0
A-3605850,1,35.41178,-82.57172,Mills River,Henderson,NC,83,83,42,27.64,9,16,0
A-3658528,2,38.12546,-85.89302,Louisville,Jefferson,KY,56,56,80,29.28,10,10,0
A-2070379,2,29.427111,-98.6633,San Antonio,Bexar,TX,91.9,,46,29.86,10,6.9,
A-2367005,2,35.815468,-78.70517,Raleigh,Wake,NC,66.9,,97,29.88,5,8.1,0
A-632507,2,39.738411,-105.087273,Denver,Jefferson,CO,55,55,26,24.54,10,3,0
A-3974306,2,44.77719,-93.51158,Shakopee,Scott,MN,46,42.5,66,30.23,10,6.9,
A-1953568,3,35.321926,-80.940849,Charlotte,Mecklenburg,NC,91,,50,30.11,9,5.8,
A-2117986,3,33.190414,-117.362198,Oceanside,San Diego,CA,64,,78,29.88,9,4.6,
A-251290,3,39.872574,-75.082214,Bellmawr,Camden,NJ,75.9,,74,29.98,10,10.4,
A-2333522,2,39.576225,-76.343773,Bel Air,Harford,MD,37.4,32.1,100,30.6,3,6.9,0
A-3838132,2,33.854001,-117.959244,Anaheim,Orange,CA,52,52,86,29.98,2,0,0
A-3589702,3,41.87101,-87.76894,Chicago,Cook,IL,53,53,96,29.04,7,8,0
A-3875989,2,38.069722,-122.226905,Vallejo,Solano,CA,78,78,40,29.81,10,22,0
A-1750340,3,37.115856,-93.761803,Mount Vernon,Lawrence,MO,26.6,16.2,74,30.45,10,11.5,
